author1,author2,similarity
A. B. Hall,Colin J. Brislawn,1.0
A. B. Hall,E. Andrews,1.0
A. B. Hall,J. Lloyd-Price,1.0
A. B. Hall,J. Ávila-Pacheco,1.0
A. B. Hall,K. Bonham,1.0
A. B. Hall,M. Schirmer,1.0
A. B. Hall,N. Ajami,1.0
A. B. Hall,Tiffany W. Poon,1.0
A. Back,A. Tsoi,1.0
A. Back,C. Lee Giles,1.0
A. Back,S. Lawrence,1.0
A. Balmforth,A. Duncanson,1.0
A. Balmforth,D. Clayton,1.0
A. Balmforth,D. Kwiatkowski,1.0
A. Balmforth,J. Todd,1.0
A. Balmforth,L. Cardon,1.0
A. Balmforth,N. Craddock,1.0
A. Balmforth,N. Samani,1.0
A. Balmforth,P. Burton,1.0
A. Balmforth,P. Deloukas,1.0
A. Balmforth,W. Ouwehand,1.0
A. Barabási,D. Lazer,1.0
A. Barabási,G. Szabó,1.0
A. Barabási,J. Hyvönen,1.0
A. Barabási,J. Onnela,1.0
A. Barabási,J. Saramäki,1.0
A. Barabási,János Kertész,1.0
A. Barabási,K. Kaski,1.0
A. Barbe,A. Campargue,1.0
A. Barbe,B. Drouin,1.0
A. Barbe,E. Cohen,1.0
A. Barbe,L. Bizzocchi,1.0
A. Barbe,L. Coudert,1.0
A. Barbe,M. Birk,1.0
A. Barbe,P. Bernath,1.0
A. Barbe,V. Boudon,1.0
A. Barbe,V. Devi,1.0
A. Barbe,Y. Babikov,1.0
A. Barrau,B. Abel,1.0
A. Barrau,D. Alonso,1.0
A. Barrau,Emily Acosta,1.0
A. Barrau,J. Andrew,1.0
A. Barrau,J. Tyson,1.0
A. Barrau,R. Allsman,1.0
A. Barrau,S. Anderson,1.0
A. Barrau,S. Kahn,1.0
A. Barrau,Y. AlSayyad,1.0
A. Barrau,vZeljko Ivezi'c,1.0
A. Barre-Dirrie,D. Chekmenev,1.0
A. Barre-Dirrie,I. Liebich,1.0
A. Barre-Dirrie,M. Krull,1.0
A. Barre-Dirrie,N. Voss,1.0
A. Barre-Dirrie,P. Stegmaier,1.0
A. Barton,A. Duncanson,1.0
A. Barton,D. Clayton,1.0
A. Barton,D. Kwiatkowski,1.0
A. Barton,J. Todd,1.0
A. Barton,L. Cardon,1.0
A. Barton,N. Craddock,1.0
A. Barton,N. Samani,1.0
A. Barton,P. Burton,1.0
A. Barton,P. Deloukas,1.0
A. Barton,W. Ouwehand,1.0
A. Battle,E. Lo,1.0
A. Battle,Fernando García,1.0
A. Battle,Gary Walters,1.0
A. Battle,J. Lonsdale,1.0
A. Battle,Jeffrey A. Thomas,1.0
A. Battle,Mike Salvatore,1.0
A. Battle,Nancy Young,1.0
A. Battle,R. Hasz,1.0
A. Battle,R. Phillips,1.0
A. Battle,Saboor Shad,1.0
A. Bauer,B. Abel,1.0
A. Bauer,D. Alonso,1.0
A. Bauer,Emily Acosta,1.0
A. Bauer,J. Andrew,1.0
A. Bauer,J. Tyson,1.0
A. Bauer,R. Allsman,1.0
A. Bauer,S. Anderson,1.0
A. Bauer,S. Kahn,1.0
A. Bauer,Y. AlSayyad,1.0
A. Bauer,vZeljko Ivezi'c,1.0
A. Bax,F. Delaglio,1.0
A. Bax,Gabriel Cornilescu,1.0
A. Bayliss,C. Buck,1.0
A. Bayliss,C. Ramsey,1.0
A. Bayliss,E. Bard,1.0
A. Bayliss,Hai Cheng,1.0
A. Bayliss,J. Beck,1.0
A. Bayliss,M. Friedrich,1.0
A. Bayliss,P. Blackwell,1.0
A. Bayliss,P. Grootes,1.0
A. Bayliss,P. Reimer,1.0
A. Bayliss,R. Edwards,1.0
A. Beautrais,A. Apter,1.0
A. Beautrais,A. Haas,1.0
A. Beautrais,A. Marušič,1.0
A. Beautrais,D. Currier,1.0
A. Beautrais,J. Bertolote,1.0
A. Beautrais,J. Lonnqvist,1.0
A. Beautrais,J. Mann,1.0
A. Beautrais,K. Malone,1.0
A. Beautrais,L. Mehlum,1.0
A. Beautrais,U. Hegerl,1.0
A. Becker,B. Abel,1.0
A. Becker,D. Alonso,1.0
A. Becker,Emily Acosta,1.0
A. Becker,J. Andrew,1.0
A. Becker,J. Tyson,1.0
A. Becker,R. Allsman,1.0
A. Becker,S. Anderson,1.0
A. Becker,S. Kahn,1.0
A. Becker,Y. AlSayyad,1.0
A. Becker,vZeljko Ivezi'c,1.0
A. Belward,E. Bartholomé,1.0
A. Bennett,Andrew J. Henry,1.0
A. Bennett,B. Mappin,1.0
A. Bennett,C. Moyes,1.0
A. Bennett,D. Bisanzio,1.0
A. Bennett,D. Weiss,1.0
A. Bennett,E. Cameron,1.0
A. Bennett,K. Battle,1.0
A. Bennett,P. Eckhoff,1.0
A. Bennett,S. Bhatt,1.0
A. Bennett,U. Dalrymple,1.0
A. Bhutta,K. Anand,1.0
A. Bhutta,M. Cleves,1.0
A. Bhutta,M. Cradock,1.0
A. Bhutta,P. Casey,1.0
A. Bigham,C. Huff,1.0
A. Bigham,Choli Lee,1.0
A. Bigham,D. Nickerson,1.0
A. Bigham,E. Jabs,1.0
A. Bigham,H. Tabor,1.0
A. Bigham,J. Shendure,1.0
A. Bigham,K. Buckingham,1.0
A. Bigham,K. Dent,1.0
A. Bigham,P. Shannon,1.0
A. Bigham,Sarah B. H. Ng,1.0
A. Bindman,C. Daher,1.0
A. Bindman,D. Osmond,1.0
A. Bindman,D. Schillinger,1.0
A. Bindman,Frances Wang,1.0
A. Bindman,Gabriela Diaz Sullivan,1.0
A. Bindman,J. Piette,1.0
A. Bindman,Jorge Palacios,1.0
A. Bindman,K. Grumbach,1.0
A. Blei,A. Larson,1.0
A. Blei,A. Shakil,1.0
A. Blei,Frank V. Schioødt,1.0
A. Blei,G. Ostapowicz,1.0
A. Blei,J. Hay,1.0
A. Blei,L. Hynan,1.0
A. Blei,R. Fontana,1.0
A. Blei,Steven‐Huy B. Han,1.0
A. Blei,T. Davern,1.0
A. Blei,T. Mccashland,1.0
A. Bode,Arno Buchner,1.0
A. Bode,Gangolf Jobb,1.0
A. Bode,H. Meier,1.0
A. Bode,L. Richter,1.0
A. Bode,O. Strunk,1.0
A. Bode,Ralf Westram,1.0
A. Bode,Susanne Steppi,1.0
A. Bode,Tina Lai,1.0
A. Bode,Wolfram Förster,1.0
A. Bode,Yadhukumar,1.0
A. Bogan,K. Thorn,1.0
A. Borgland,B. Abel,1.0
A. Borgland,D. Alonso,1.0
A. Borgland,Emily Acosta,1.0
A. Borgland,J. Andrew,1.0
A. Borgland,J. Tyson,1.0
A. Borgland,R. Allsman,1.0
A. Borgland,S. Anderson,1.0
A. Borgland,S. Kahn,1.0
A. Borgland,Y. AlSayyad,1.0
A. Borgland,vZeljko Ivezi'c,1.0
A. Boyle,M. Hariharan,1.0
A. Boyle,M. Schaub,1.0
A. Boyle,M. Snyder,1.0
A. Boyle,Maya Kasowski,1.0
A. Boyle,Yong Cheng,1.0
A. Bradshaw,B. Abel,1.0
A. Bradshaw,D. Alonso,1.0
A. Bradshaw,Emily Acosta,1.0
A. Bradshaw,J. Andrew,1.0
A. Bradshaw,J. Tyson,1.0
A. Bradshaw,R. Allsman,1.0
A. Bradshaw,S. Anderson,1.0
A. Bradshaw,S. Kahn,1.0
A. Bradshaw,Y. AlSayyad,1.0
A. Bradshaw,vZeljko Ivezi'c,1.0
A. Breitkreutz,Bobby-Joe Breitkreutz,1.0
A. Breitkreutz,Chris Stark,1.0
A. Breitkreutz,Lorrie Boucher,1.0
A. Breitkreutz,M. Tyers,1.0
A. Breitkreutz,T. Reguly,1.0
A. Bridge,A. D. Silva,1.0
A. Bridge,B. Bely,1.0
A. Bridge,Borisas Bursteinas,1.0
A. Bridge,C. Bonilla,1.0
A. Bridge,J. Arganiska,1.0
A. Bridge,M. Bingley,1.0
A. Bridge,M. D. Giorgi,1.0
A. Bridge,R. Antunes,1.0
A. Bridge,R. Britto,1.0
A. Bridge,Tunca Dogan,1.0
A. Broder,M. Mitzenmacher,1.0
A. Buniello,Cinzia Malangone,1.0
A. Buniello,D. Suveges,1.0
A. Buniello,E. Sollis,1.0
A. Buniello,Edward Mountjoy,1.0
A. Buniello,Jose A. Guillen,1.0
A. Buniello,Laura W. Harris,1.0
A. Buniello,Olga Vrousgou,1.0
A. Buniello,P. Whetzel,1.0
A. Buniello,R. Amode,1.0
A. Buzaid,A. Cochran,1.0
A. Buzaid,A. Eggermont,1.0
A. Buzaid,A. Sober,1.0
A. Buzaid,D. Morton,1.0
A. Buzaid,J. Thompson,1.0
A. Buzaid,K. Flaherty,1.0
A. Buzaid,M. Mihm,1.0
A. Buzaid,P. Gimotty,1.0
A. Buzaid,Shouluan Ding,1.0
A. Buzaid,V. Sondak,1.0
A. Börner,A. Knohl,1.0
A. Börner,B. Law,1.0
A. Börner,D. Hessenmöller,1.0
A. Börner,J. Grace,1.0
A. Börner,S. Luyssaert,1.0
A. Börsch-Supan,Barbara Schaan,1.0
A. Börsch-Supan,Christian Hunkler,1.0
A. Börsch-Supan,F. Malter,1.0
A. Börsch-Supan,Julie M. Korbmacher,1.0
A. Börsch-Supan,M. Brandt,1.0
A. Börsch-Supan,S. Zuber,1.0
A. Börsch-Supan,Stephanie Stuck,1.0
A. Börsch-Supan,Thorsten Kneip,1.0
A. Búrquez,A. Martínez-Yrizar,1.0
A. Búrquez,E. Chidumayo,1.0
A. Búrquez,M. Colgan,1.0
A. Búrquez,M. Henry,1.0
A. Búrquez,M. Réjou‐Méchain,1.0
A. Búrquez,P. Fearnside,1.0
A. Búrquez,Rosa C. Goodman,1.0
A. Búrquez,T. Eid,1.0
A. Búrquez,W. Delitti,1.0
A. Búrquez,Á. Duque,1.0
A. C. Burnside,D. Dollar,1.0
A. C. Llavall,A. Dixit,1.0
A. C. Llavall,Dengyi Zhou,1.0
A. C. Llavall,E. Stallings,1.0
A. C. Llavall,J. Allotey,1.0
A. C. Llavall,L. Debenham,1.0
A. C. Llavall,M. Bonet,1.0
A. C. Llavall,M. Yap,1.0
A. C. Llavall,R. Balaji,1.0
A. C. Llavall,S. Chatterjee,1.0
A. C. Llavall,T. Kew,1.0
A. Campargue,A. Barbe,1.0
A. Campargue,B. Drouin,1.0
A. Campargue,E. Cohen,1.0
A. Campargue,L. Bizzocchi,1.0
A. Campargue,L. Coudert,1.0
A. Campargue,M. Birk,1.0
A. Campargue,P. Bernath,1.0
A. Campargue,V. Boudon,1.0
A. Campargue,V. Devi,1.0
A. Campargue,Y. Babikov,1.0
A. Carattoli,A. García-Fernández,1.0
A. Carattoli,E. Zankari,1.0
A. Carattoli,Frank Møller Aarestrup,1.0
A. Carattoli,L. Villa,1.0
A. Carattoli,Mette Voldby Larsen,1.0
A. Chapelle,C. Rosen,1.0
A. Chapelle,G. Petersen,1.0
A. Chapelle,J. Venter,1.0
A. Chapelle,K. Carter,1.0
A. Chapelle,Mark Raymond Adams,1.0
A. Chapelle,N. Nicolaides,1.0
A. Chapelle,S. Hamilton,1.0
A. Chapelle,S. Ruben,1.0
A. Chapelle,W. Haseltine,1.0
A. Chapelle,Y. Wei,1.0
A. Chiesa,A. Serretti,1.0
A. Chinnaiyan,D. Ghosh,1.0
A. Chinnaiyan,D. Rhodes,1.0
A. Chinnaiyan,Jianjun Yu,1.0
A. Chinnaiyan,Radhika Varambally,1.0
A. Chinnaiyan,T. Barrette,1.0
A. Cochran,A. Buzaid,1.0
A. Cochran,A. Eggermont,1.0
A. Cochran,A. Sober,1.0
A. Cochran,D. Morton,1.0
A. Cochran,J. Thompson,1.0
A. Cochran,K. Flaherty,1.0
A. Cochran,M. Mihm,1.0
A. Cochran,P. Gimotty,1.0
A. Cochran,Shouluan Ding,1.0
A. Cochran,V. Sondak,1.0
A. Compston,A. Duncanson,1.0
A. Compston,D. Clayton,1.0
A. Compston,D. Kwiatkowski,1.0
A. Compston,J. Todd,1.0
A. Compston,L. Cardon,1.0
A. Compston,N. Craddock,1.0
A. Compston,N. Samani,1.0
A. Compston,P. Burton,1.0
A. Compston,P. Deloukas,1.0
A. Compston,W. Ouwehand,1.0
A. Conesa,Stefan Götz,1.0
A. Connolly,B. Abel,1.0
A. Connolly,D. Alonso,1.0
A. Connolly,Emily Acosta,1.0
A. Connolly,J. Andrew,1.0
A. Connolly,J. Tyson,1.0
A. Connolly,R. Allsman,1.0
A. Connolly,S. Anderson,1.0
A. Connolly,S. Kahn,1.0
A. Connolly,Y. AlSayyad,1.0
A. Connolly,vZeljko Ivezi'c,1.0
A. Cooray,B. Abel,1.0
A. Cooray,D. Alonso,1.0
A. Cooray,Emily Acosta,1.0
A. Cooray,J. Andrew,1.0
A. Cooray,J. Tyson,1.0
A. Cooray,R. Allsman,1.0
A. Cooray,S. Anderson,1.0
A. Cooray,S. Kahn,1.0
A. Cooray,Y. AlSayyad,1.0
A. Cooray,vZeljko Ivezi'c,1.0
A. Cowie,Agata Laydon,1.0
A. Cowie,Cindy Natassia,1.0
A. Cowie,D. Yuan,1.0
A. Cowie,Galabina Yordanova,1.0
A. Cowie,Gemma Wood,1.0
A. Cowie,M. Deshpande,1.0
A. Cowie,M. Váradi,1.0
A. Cowie,Oana Stroe,1.0
A. Cowie,S. Anyango,1.0
A. Cowie,S. Nair,1.0
A. Cropp,A. Maggioni,1.0
A. Cropp,B. Pitt,1.0
A. Cropp,D. Linker,1.0
A. Cropp,I. Anand,1.0
A. Cropp,M. Sullivan,1.0
A. Cropp,P. Burton,1.0
A. Cropp,P. Poole‐Wilson,1.0
A. Cropp,S. Anker,1.0
A. Cropp,S. Sutradhar,1.0
A. Cropp,W. Levy,1.0
A. Cruz-Jentoft,C. Sieber,1.0
A. Cruz-Jentoft,C. Zuniga,1.0
A. Cruz-Jentoft,F. Landi,1.0
A. Cruz-Jentoft,F. Martin,1.0
A. Cruz-Jentoft,H. Arai,1.0
A. Cruz-Jentoft,J. Michel,1.0
A. Cruz-Jentoft,Liang‐Kung Chen,1.0
A. Cruz-Jentoft,R. Fielding,1.0
A. Cruz-Jentoft,S. Schneider,1.0
A. Cruz-Jentoft,Y. Boirie,1.0
A. Csordas,J. Griss,1.0
A. Culyer,Cfb Sanderson,1.0
A. Culyer,Cm Mckee,1.0
A. Culyer,Dl Lamping,1.0
A. Culyer,Doug Altman,1.0
A. Culyer,I. Russell,1.0
A. Culyer,J. Askham,1.0
A. Culyer,Mk Murphy,1.0
A. Culyer,Mr Peter Bower,1.0
A. Culyer,N. Black,1.0
A. Culyer,T. Marteau,1.0
A. D. Silva,B. Bely,1.0
A. D. Silva,Borisas Bursteinas,1.0
A. D. Silva,C. Bonilla,1.0
A. D. Silva,F. Fazzini,1.0
A. D. Silva,J. Arganiska,1.0
A. D. Silva,M. Bingley,1.0
A. D. Silva,M. D. Giorgi,1.0
A. D. Silva,R. Antunes,1.0
A. D. Silva,R. Britto,1.0
A. D. Silva,Tunca Dogan,1.0
A. Dalke,B. Wilczyński,1.0
A. Dalke,Brad A. Chapman,1.0
A. Dalke,C. Cox,1.0
A. Dalke,F. Kauff,1.0
A. Dalke,Iddo Friedberg,1.0
A. Dalke,Jeffrey T. Chang,1.0
A. Dalke,Michiel J. L. de Hoon,1.0
A. Dalke,P. Cock,1.0
A. Dalke,T. Antão,1.0
A. Dalke,T. Hamelryck,1.0
A. De Kesel,A. Saitta,1.0
A. De Kesel,A. Vasco-Palacios,1.0
A. De Kesel,Cathy Sharp,1.0
A. De Kesel,Erki Saluveer,1.0
A. De Kesel,Luis Villarreal Ruiz,1.0
A. De Kesel,Matthew E. Smith,1.0
A. De Kesel,N. Yorou,1.0
A. De Kesel,P. Q. Thu,1.0
A. De Kesel,Ravi L. C. Wijesundera,1.0
A. De Kesel,Sergei Põlme,1.0
A. Dean,A. Kirkpatrick,1.0
A. Dean,D. Lichtenstein,1.0
A. Dean,G. Mathis,1.0
A. Dean,G. Via,1.0
A. Dean,G. Volpicelli,1.0
A. Dean,L. Gargani,1.0
A. Dean,L. Melniker,1.0
A. Dean,M. Blaivas,1.0
A. Dean,M. Elbarbary,1.0
A. Dean,V. Noble,1.0
A. Deik,A. Ananthakrishnan,1.0
A. Deik,Cesar Arze,1.0
A. Deik,Colin J. Brislawn,1.0
A. Deik,E. Andrews,1.0
A. Deik,J. Lloyd-Price,1.0
A. Deik,J. Ávila-Pacheco,1.0
A. Deik,K. Bonham,1.0
A. Deik,M. Schirmer,1.0
A. Deik,N. Ajami,1.0
A. Deik,Tiffany W. Poon,1.0
A. Dellapenna,B. Abel,1.0
A. Dellapenna,D. Alonso,1.0
A. Dellapenna,Emily Acosta,1.0
A. Dellapenna,J. Andrew,1.0
A. Dellapenna,J. Tyson,1.0
A. Dellapenna,R. Allsman,1.0
A. Dellapenna,S. Anderson,1.0
A. Dellapenna,S. Kahn,1.0
A. Dellapenna,Y. AlSayyad,1.0
A. Dellapenna,vZeljko Ivezi'c,1.0
A. Demers,C. Hauser,1.0
A. Demers,D. C. Swinehart,1.0
A. Demers,D. Greene,1.0
A. Demers,D. Terry,1.0
A. Demers,Howard E. Sturgis,1.0
A. Demers,John Larson,1.0
A. Demers,S. Shenker,1.0
A. Demers,Wes Irish,1.0
A. Demirguc-Kunt,Vojislav Maksimovic,1.0
A. Deswal,B. Bozkurt,1.0
A. Deswal,D. Aguilar,1.0
A. Deswal,J. Fang,1.0
A. Deswal,Joni J. Byun,1.0
A. Deswal,L. Allen,1.0
A. Deswal,Linda R. Evers,1.0
A. Deswal,M. Drazner,1.0
A. Deswal,Monica Colvin,1.0
A. Deswal,P. Heidenreich,1.0
A. Deswal,S. Dunlay,1.0
A. Dixit,A. C. Llavall,1.0
A. Dixit,Dengyi Zhou,1.0
A. Dixit,E. Stallings,1.0
A. Dixit,J. Allotey,1.0
A. Dixit,L. Debenham,1.0
A. Dixit,M. Bonet,1.0
A. Dixit,M. Yap,1.0
A. Dixit,R. Balaji,1.0
A. Dixit,S. Chatterjee,1.0
A. Dixit,T. Kew,1.0
A. Dominiczak,A. Duncanson,1.0
A. Dominiczak,D. Clayton,1.0
A. Dominiczak,D. Kwiatkowski,1.0
A. Dominiczak,J. Todd,1.0
A. Dominiczak,L. Cardon,1.0
A. Dominiczak,N. Craddock,1.0
A. Dominiczak,N. Samani,1.0
A. Dominiczak,P. Burton,1.0
A. Dominiczak,P. Deloukas,1.0
A. Dominiczak,W. Ouwehand,1.0
A. Duncanson,D. Clayton,1.0
A. Duncanson,D. Kwiatkowski,1.0
A. Duncanson,J. Todd,1.0
A. Duncanson,L. Cardon,1.0
A. Duncanson,N. Craddock,1.0
A. Duncanson,N. Samani,1.0
A. Duncanson,P. Burton,1.0
A. Duncanson,P. Deloukas,1.0
A. Duncanson,P. Donnelly,1.0
A. Duncanson,W. Ouwehand,1.0
A. Dunker,C. Brown,1.0
A. Dunker,Ethan C. Garner,1.0
A. Dunker,P. Romero,1.0
A. Dunker,Xiaohong Li,1.0
A. Dunker,Z. Obradovic,1.0
A. Eagly,Maureen Crowley,1.0
A. Edlund,Clifford A. Kapono,1.0
A. Edlund,Don D. Nguyen,1.0
A. Edlund,J. Watrous,1.0
A. Edlund,Jeremy J. Carver,1.0
A. Edlund,Laura M. Sanchez,1.0
A. Edlund,Mingxun Wang,1.0
A. Edlund,Neha Garg,1.0
A. Edlund,Tal Luzzatto-Knaan,1.0
A. Edlund,Vanessa V. Phelan,1.0
A. Edlund,Yao Peng,1.0
A. Eggermont,A. Buzaid,1.0
A. Eggermont,A. Cochran,1.0
A. Eggermont,A. Sober,1.0
A. Eggermont,D. Morton,1.0
A. Eggermont,J. Thompson,1.0
A. Eggermont,K. Flaherty,1.0
A. Eggermont,M. Mihm,1.0
A. Eggermont,P. Gimotty,1.0
A. Eggermont,Shouluan Ding,1.0
A. Eggermont,V. Sondak,1.0
A. Ekbom,C. Reuterwall,1.0
A. Ekbom,E. Andersson,1.0
A. Ekbom,J. Ludvigsson,1.0
A. Ekbom,Jeong-Lim Kim,1.0
A. Ekbom,M. Feychting,1.0
A. Ekbom,M. Heurgren,1.0
A. Ekbom,P. O. Olausson,1.0
A. Eklund,A. Lánczky,1.0
A. Eklund,Balázs Győrffy,1.0
A. Eklund,C. Denkert,1.0
A. Eklund,J. Budczies,1.0
A. Eklund,Qiyuan Li,1.0
A. Eklund,Z. Szallasi,1.0
A. Elkin,A. Duncanson,1.0
A. Elkin,D. Clayton,1.0
A. Elkin,D. Kwiatkowski,1.0
A. Elkin,J. Todd,1.0
A. Elkin,L. Cardon,1.0
A. Elkin,N. Craddock,1.0
A. Elkin,N. Samani,1.0
A. Elkin,P. Burton,1.0
A. Elkin,P. Deloukas,1.0
A. Elkin,W. Ouwehand,1.0
A. Elmagarmid,Panagiotis G. Ipeirotis,1.0
A. Elmagarmid,V. Verykios,1.0
A. Emili,A. Ignatchenko,1.0
A. Emili,A. Tikuisis,1.0
A. Emili,G. Cagney,1.0
A. Emili,Gouqing Zhong,1.0
A. Emili,Haiyuan Yu,1.0
A. Emili,Joyce Li,1.0
A. Emili,N. Krogan,1.0
A. Emili,Nira Datta,1.0
A. Emili,S. Pu,1.0
A. Emili,Xinghua Guo,1.0
A. Emslie-Smith,A. Morris,1.0
A. Emslie-Smith,D. Alessi,1.0
A. Emslie-Smith,J. Evans,1.0
A. Emslie-Smith,L. Donnelly,1.0
A. Estreicher,M. Blatter,1.0
A. Estreicher,Michel Schneider,1.0
A. Estreicher,S. Pilbout,1.0
A. F. Florensa,A. Philippon,1.0
A. F. Florensa,A. R. Rebelo,1.0
A. F. Florensa,E. Ruppé,1.0
A. F. Florensa,Linda Fagelhauer,1.0
A. F. Florensa,M. Roberts,1.0
A. F. Florensa,R. Allesøe,1.0
A. F. Florensa,R. Kaas,1.0
A. F. Florensa,S. Schwarz,1.0
A. F. Florensa,V. Cattoir,1.0
A. F. Florensa,Valeria Bortolaia,1.0
A. F. Neuwald,J. Spouge,1.0
A. F. Neuwald,L. Aravind,1.0
A. F. Scott,A. Hamosh,1.0
A. F. Scott,Carol A. Bocchini,1.0
A. F. Scott,J. Amberger,1.0
A. F. Scott,V. McKusick,1.0
A. Faichney,C. D. Vincentiis,1.0
A. Faichney,E. Baudet,1.0
A. Faichney,E. Gams,1.0
A. Faichney,E. Gauducheau,1.0
A. Faichney,F. Gavrielle,1.0
A. Faichney,F. Roques,1.0
A. Faichney,J. Cortina,1.0
A. Faichney,M. David,1.0
A. Faichney,P. Michel,1.0
A. Faichney,S. Nashef,1.0
A. Farmer,A. Duncanson,1.0
A. Farmer,D. Clayton,1.0
A. Farmer,D. Kwiatkowski,1.0
A. Farmer,J. Todd,1.0
A. Farmer,L. Cardon,1.0
A. Farmer,N. Craddock,1.0
A. Farmer,N. Samani,1.0
A. Farmer,P. Burton,1.0
A. Farmer,P. Deloukas,1.0
A. Farmer,W. Ouwehand,1.0
A. Fayt,A. Barbe,1.0
A. Fayt,A. Campargue,1.0
A. Fayt,E. Cohen,1.0
A. Fayt,L. Bizzocchi,1.0
A. Fayt,L. Coudert,1.0
A. Fayt,M. Birk,1.0
A. Fayt,P. Bernath,1.0
