author,communityId,publications
Owen Ozier,52,Cytoscape: a software environment for integrated models of biomolecular interaction networks.
N. Baliga,53,Cytoscape: a software environment for integrated models of biomolecular interaction networks.
Jonathan T Wang,54,Cytoscape: a software environment for integrated models of biomolecular interaction networks.
Daniel Ramage,55,Cytoscape: a software environment for integrated models of biomolecular interaction networks.
Nada Amin,56,Cytoscape: a software environment for integrated models of biomolecular interaction networks.
Benno Schwikowski,57,Cytoscape: a software environment for integrated models of biomolecular interaction networks.
T. Ideker,58,Cytoscape: a software environment for integrated models of biomolecular interaction networks.
Navneet Dalal,59,Histograms of oriented gradients for human detection; Human Detection Using Oriented Histograms of Flow and Appearance
B. Triggs,60,Histograms of oriented gradients for human detection; Human Detection Using Oriented Histograms of Flow and Appearance
J. Dudley,61,MEGA4: Molecular Evolutionary Genetics Analysis (MEGA) software version 4.0.
M. Ester,62,A Density-Based Algorithm for Discovering Clusters in Large Spatial Databases with Noise
H. Kriegel,63,A Density-Based Algorithm for Discovering Clusters in Large Spatial Databases with Noise; OPTICS: ordering points to identify the clustering structure
J. Sander,64,A Density-Based Algorithm for Discovering Clusters in Large Spatial Databases with Noise; OPTICS: ordering points to identify the clustering structure
Xiaowei Xu,65,A Density-Based Algorithm for Discovering Clusters in Large Spatial Databases with Noise
Yan Zhao,66,"The M06 suite of density functionals for main group thermochemistry, thermochemical kinetics, noncovalent interactions, excited states, and transition elements: two new functionals and systematic testing of four M06-class functionals and 12 other functionals; Density functionals with broad applicability in chemistry.; A new local density functional for main-group thermochemistry, transition metal bonding, thermochemical kinetics, and noncovalent interactions.; Design of Density Functionals by Combining the Method of Constraint Satisfaction with Parametrization for Thermochemistry, Thermochemical Kinetics, and Noncovalent Interactions."
D. Truhlar,67,"The M06 suite of density functionals for main group thermochemistry, thermochemical kinetics, noncovalent interactions, excited states, and transition elements: two new functionals and systematic testing of four M06-class functionals and 12 other functionals; Density functionals with broad applicability in chemistry.; A new local density functional for main-group thermochemistry, transition metal bonding, thermochemical kinetics, and noncovalent interactions.; Design of Density Functionals by Combining the Method of Constraint Satisfaction with Parametrization for Thermochemistry, Thermochemical Kinetics, and Noncovalent Interactions."
Christian Quast,68,The SILVA ribosomal RNA gene database project: improved data processing and web-based tools; SILVA: a comprehensive online resource for quality checked and aligned ribosomal RNA sequence data compatible with ARB; The SILVA and “All-species Living Tree Project (LTP)” taxonomic frameworks
E. Pruesse,69,The SILVA ribosomal RNA gene database project: improved data processing and web-based tools; SILVA: a comprehensive online resource for quality checked and aligned ribosomal RNA sequence data compatible with ARB; The SILVA and “All-species Living Tree Project (LTP)” taxonomic frameworks; SINA: Accurate high-throughput multiple sequence alignment of ribosomal RNA genes; Uniting the classification of cultured and uncultured bacteria and archaea using 16S rRNA gene sequences
Pelin Yilmaz,70,The SILVA ribosomal RNA gene database project: improved data processing and web-based tools; The SILVA and “All-species Living Tree Project (LTP)” taxonomic frameworks; Uniting the classification of cultured and uncultured bacteria and archaea using 16S rRNA gene sequences
Jan Gerken,71,The SILVA ribosomal RNA gene database project: improved data processing and web-based tools; The SILVA and “All-species Living Tree Project (LTP)” taxonomic frameworks
Timmy Schweer,72,The SILVA ribosomal RNA gene database project: improved data processing and web-based tools; The SILVA and “All-species Living Tree Project (LTP)” taxonomic frameworks
P. Yarza,73,The SILVA ribosomal RNA gene database project: improved data processing and web-based tools; The SILVA and “All-species Living Tree Project (LTP)” taxonomic frameworks; Uniting the classification of cultured and uncultured bacteria and archaea using 16S rRNA gene sequences
J. Peplies,74,The SILVA ribosomal RNA gene database project: improved data processing and web-based tools; SILVA: a comprehensive online resource for quality checked and aligned ribosomal RNA sequence data compatible with ARB; The SILVA and “All-species Living Tree Project (LTP)” taxonomic frameworks; SINA: Accurate high-throughput multiple sequence alignment of ribosomal RNA genes; JSpeciesWS: a web server for prokaryotic species circumscription based on pairwise genome comparison
F. Glöckner,75,The SILVA ribosomal RNA gene database project: improved data processing and web-based tools; SILVA: a comprehensive online resource for quality checked and aligned ribosomal RNA sequence data compatible with ARB; The SILVA and “All-species Living Tree Project (LTP)” taxonomic frameworks; SINA: Accurate high-throughput multiple sequence alignment of ribosomal RNA genes; The UNITE database for molecular identification of fungi: handling dark taxa and parallel taxonomic classifications; JSpeciesWS: a web server for prokaryotic species circumscription based on pairwise genome comparison; Uniting the classification of cultured and uncultured bacteria and archaea using 16S rRNA gene sequences
M. Kanehisa,76,"KEGG: Kyoto Encyclopedia of Genes and Genomes; KEGG: Kyoto Encyclopedia of Genes and Genomes; KEGG: new perspectives on genomes, pathways, diseases and drugs; KEGG for linking genomes to life and the environment; KEGG as a reference resource for gene and protein annotation; KEGG for integration and interpretation of large-scale molecular data sets; The KEGG resource for deciphering the genome; From genomics to chemical genomics: new developments in KEGG; Toward understanding the origin and evolution of cellular organisms; KEGG for taxonomy-based analysis of pathways and genomes; KEGG: integrating viruses and cellular organisms; KEGG for representation and analysis of molecular networks involving diseases and drugs"
S. Goto,77,KEGG: Kyoto Encyclopedia of Genes and Genomes; KEGG: Kyoto Encyclopedia of Genes and Genomes; KEGG for linking genomes to life and the environment; KEGG for integration and interpretation of large-scale molecular data sets; The KEGG resource for deciphering the genome; From genomics to chemical genomics: new developments in KEGG; KEGG for representation and analysis of molecular networks involving diseases and drugs
Qiong Wang,78,Naïve Bayesian Classifier for Rapid Assignment of rRNA Sequences into the New Bacterial Taxonomy; The Ribosomal Database Project: improved alignments and new tools for rRNA analysis; Ribosomal Database Project: data and tools for high throughput rRNA analysis
G. Garrity,79,Naïve Bayesian Classifier for Rapid Assignment of rRNA Sequences into the New Bacterial Taxonomy; The Ribosomal Database Project: improved alignments and new tools for rRNA analysis
J. Tiedje,80,Naïve Bayesian Classifier for Rapid Assignment of rRNA Sequences into the New Bacterial Taxonomy; The Ribosomal Database Project: improved alignments and new tools for rRNA analysis; Ribosomal Database Project: data and tools for high throughput rRNA analysis
J. Cole,81,Naïve Bayesian Classifier for Rapid Assignment of rRNA Sequences into the New Bacterial Taxonomy; The Ribosomal Database Project: improved alignments and new tools for rRNA analysis; Ribosomal Database Project: data and tools for high throughput rRNA analysis
Hiroyuki Ogata,82,KEGG: Kyoto Encyclopedia of Genes and Genomes
Kazushige Sato,83,KEGG: Kyoto Encyclopedia of Genes and Genomes
Wataru Fujibuchi,84,KEGG: Kyoto Encyclopedia of Genes and Genomes
Hidemasa Bono,85,KEGG: Kyoto Encyclopedia of Genes and Genomes
G. Miller,86,WordNet: A Lexical Database for English; Introduction to WordNet: An On-line Lexical Database
J. Higgins,87,Cochrane handbook for systematic reviews of interventions. Version 5.1.0 [updated March 2011]. The Cochrane Collaboration
R. Agrawal,88,Mining association rules between sets of items in large databases; Fast Algorithms for Mining Association Rules in Large Databases; Fast Algorithms for Mining Association Rules; Mining sequential patterns; Mining Sequential Patterns: Generalizations and Performance Improvements; Efficient Similarity Search In Sequence Databases; Database Mining: A Performance Perspective
T. Imielinski,89,Mining association rules between sets of items in large databases; Database Mining: A Performance Perspective
A. Swami,90,Mining association rules between sets of items in large databases; Efficient Similarity Search In Sequence Databases; Database Mining: A Performance Perspective
Christiam Camacho,91,BLAST+: architecture and applications
G. Coulouris,92,BLAST+: architecture and applications; Primer-BLAST: A tool to design target-specific primers for polymerase chain reaction
Vahram Avagyan,93,BLAST+: architecture and applications
Ning Ma,94,BLAST+: architecture and applications
Jason S. Papadopoulos,95,BLAST+: architecture and applications
Kevin Bealer,96,BLAST+: architecture and applications
Junmei Wang,97,Development and testing of a general amber force field
R. Wolf,98,Development and testing of a general amber force field
J. Caldwell,99,Development and testing of a general amber force field
P. Kollman,100,Development and testing of a general amber force field
D. Case,101,Development and testing of a general amber force field
Robert D. Finn,102,The Pfam protein families database
Jaina Mistry,103,"The Pfam protein families database; The Pfam protein families database; The Pfam protein families database: towards a more sustainable future; Pfam: The protein families database in 2021; The Pfam protein families database in 2019; Pfam: clans, web tools and services; InterPro: the integrative protein signature database"
John G. Tate,104,The Pfam protein families database
Penny C. Coggill,105,The Pfam protein families database
A. Heger,106,The Pfam protein families database
Joanne E. Pollington,107,The Pfam protein families database
O. L. Gavin,108,The Pfam protein families database
Prasad Gunasekaran,109,The Pfam protein families database
Goran Ceric,110,The Pfam protein families database; The Pfam protein families database
Kristoffer Forslund,111,The Pfam protein families database
Liisa Holm,112,The Pfam protein families database
Erik L. L. Sonnhammer,113,The Pfam protein families database
Sean R. Eddy,114,The Pfam protein families database
Alex Bateman,115,The Pfam protein families database
E. Kalnay,116,The NCEP/NCAR 40-Year Reanalysis Project
M. Kanamitsu,117,The NCEP/NCAR 40-Year Reanalysis Project
R. Kistler,118,The NCEP/NCAR 40-Year Reanalysis Project
W. Collins,119,The NCEP/NCAR 40-Year Reanalysis Project
D. Deaven,120,The NCEP/NCAR 40-Year Reanalysis Project
L. Gandin,121,The NCEP/NCAR 40-Year Reanalysis Project
M. Iredell,122,The NCEP/NCAR 40-Year Reanalysis Project
S. Saha,123,The NCEP/NCAR 40-Year Reanalysis Project
G. White,124,The NCEP/NCAR 40-Year Reanalysis Project
J. Woollen,125,The NCEP/NCAR 40-Year Reanalysis Project
Yuejian Zhu,126,The NCEP/NCAR 40-Year Reanalysis Project
M. Chelliah,127,The NCEP/NCAR 40-Year Reanalysis Project
W. Ebisuzaki,128,The NCEP/NCAR 40-Year Reanalysis Project
W. Higgins,129,The NCEP/NCAR 40-Year Reanalysis Project
J. Janowiak,130,The NCEP/NCAR 40-Year Reanalysis Project
K. Mo,131,The NCEP/NCAR 40-Year Reanalysis Project
C. Ropelewski,132,The NCEP/NCAR 40-Year Reanalysis Project
Jiande Wang,133,The NCEP/NCAR 40-Year Reanalysis Project
A. Leetmaa,134,The NCEP/NCAR 40-Year Reanalysis Project
R. Reynolds,135,The NCEP/NCAR 40-Year Reanalysis Project
R. Jenne,136,The NCEP/NCAR 40-Year Reanalysis Project
Dennis Joseph,137,The NCEP/NCAR 40-Year Reanalysis Project
Catherine Blake,138,UCI Repository of machine learning databases
Jiawei Han,139,Data Mining: Concepts and Techniques; Mining frequent patterns without candidate generation; Mining Frequent Patterns without Candidate Generation: A Frequent-Pattern Tree Approach; Data Mining: An Overview from a Database Perspective; Efficient and Effective Clustering Methods for Spatial Data Mining
M. Kamber,140,Data Mining: Concepts and Techniques
Fabian Sievers,141,"Fast, scalable generation of high-quality protein multiple sequence alignments using Clustal Omega"
A. Wilm,142,"Fast, scalable generation of high-quality protein multiple sequence alignments using Clustal Omega"
David Dineen,143,"Fast, scalable generation of high-quality protein multiple sequence alignments using Clustal Omega"
T. Gibson,144,"Fast, scalable generation of high-quality protein multiple sequence alignments using Clustal Omega"
K. Karplus,145,"Fast, scalable generation of high-quality protein multiple sequence alignments using Clustal Omega"
Weizhong Li,146,"Fast, scalable generation of high-quality protein multiple sequence alignments using Clustal Omega; UniProt: A hub for protein information; A new bioinformatics analysis tools framework at EMBL–EBI; Analysis Tool Web Services from the EMBL-EBI"
R. Lopez,147,"Fast, scalable generation of high-quality protein multiple sequence alignments using Clustal Omega; UniProt: the Universal Protein knowledgebase; The Universal Protein Resource (UniProt); InterProScan: protein domains identifier; UniProt: A hub for protein information; InterPro: the integrative protein signature database; A new bioinformatics analysis tools framework at EMBL–EBI; Analysis Tool Web Services from the EMBL-EBI"
Hamish McWilliam,148,"Fast, scalable generation of high-quality protein multiple sequence alignments using Clustal Omega; UniProt: A hub for protein information; A new bioinformatics analysis tools framework at EMBL–EBI; Analysis Tool Web Services from the EMBL-EBI"
M. Remmert,149,"Fast, scalable generation of high-quality protein multiple sequence alignments using Clustal Omega; HHblits: lightning-fast iterative protein sequence searching by HMM-HMM alignment"
J. Söding,150,"Fast, scalable generation of high-quality protein multiple sequence alignments using Clustal Omega; The HHpred interactive server for protein homology detection and structure prediction; Protein homology detection by HMM?CHMM comparison; HHblits: lightning-fast iterative protein sequence searching by HMM-HMM alignment"
J. Thompson,151,"Fast, scalable generation of high-quality protein multiple sequence alignments using Clustal Omega"
D. Higgins,152,"Fast, scalable generation of high-quality protein multiple sequence alignments using Clustal Omega"
P. Reimer,153,"IntCal13 and Marine13 Radiocarbon Age Calibration Curves 0–50,000 Years cal BP"
E. Bard,154,"IntCal13 and Marine13 Radiocarbon Age Calibration Curves 0–50,000 Years cal BP"
A. Bayliss,155,"IntCal13 and Marine13 Radiocarbon Age Calibration Curves 0–50,000 Years cal BP"
J. Beck,156,"IntCal13 and Marine13 Radiocarbon Age Calibration Curves 0–50,000 Years cal BP"
P. Blackwell,157,"IntCal13 and Marine13 Radiocarbon Age Calibration Curves 0–50,000 Years cal BP"
C. Ramsey,158,"IntCal13 and Marine13 Radiocarbon Age Calibration Curves 0–50,000 Years cal BP"
C. Buck,159,"IntCal13 and Marine13 Radiocarbon Age Calibration Curves 0–50,000 Years cal BP"
Hai Cheng,160,"IntCal13 and Marine13 Radiocarbon Age Calibration Curves 0–50,000 Years cal BP"
R. Edwards,161,"IntCal13 and Marine13 Radiocarbon Age Calibration Curves 0–50,000 Years cal BP"
M. Friedrich,162,"IntCal13 and Marine13 Radiocarbon Age Calibration Curves 0–50,000 Years cal BP"
P. Grootes,163,"IntCal13 and Marine13 Radiocarbon Age Calibration Curves 0–50,000 Years cal BP"
T. Guilderson,164,"IntCal13 and Marine13 Radiocarbon Age Calibration Curves 0–50,000 Years cal BP"
H. Haflidason,165,"IntCal13 and Marine13 Radiocarbon Age Calibration Curves 0–50,000 Years cal BP"
Irka Hajdas,166,"IntCal13 and Marine13 Radiocarbon Age Calibration Curves 0–50,000 Years cal BP"
C. Hatté,167,"IntCal13 and Marine13 Radiocarbon Age Calibration Curves 0–50,000 Years cal BP"
T. Heaton,168,"IntCal13 and Marine13 Radiocarbon Age Calibration Curves 0–50,000 Years cal BP"
D. Hoffmann,169,"IntCal13 and Marine13 Radiocarbon Age Calibration Curves 0–50,000 Years cal BP"
A. Hogg,170,"IntCal13 and Marine13 Radiocarbon Age Calibration Curves 0–50,000 Years cal BP"
K. Hughen,171,"IntCal13 and Marine13 Radiocarbon Age Calibration Curves 0–50,000 Years cal BP"
K. Kaiser,172,"IntCal13 and Marine13 Radiocarbon Age Calibration Curves 0–50,000 Years cal BP"
B. Kromer,173,"IntCal13 and Marine13 Radiocarbon Age Calibration Curves 0–50,000 Years cal BP"
S. Manning,174,"IntCal13 and Marine13 Radiocarbon Age Calibration Curves 0–50,000 Years cal BP"
Mu Niu,175,"IntCal13 and Marine13 Radiocarbon Age Calibration Curves 0–50,000 Years cal BP"
R. Reimer,176,"IntCal13 and Marine13 Radiocarbon Age Calibration Curves 0–50,000 Years cal BP"
D. Richards,177,"IntCal13 and Marine13 Radiocarbon Age Calibration Curves 0–50,000 Years cal BP"
E. Scott,178,"IntCal13 and Marine13 Radiocarbon Age Calibration Curves 0–50,000 Years cal BP"
J. Southon,179,"IntCal13 and Marine13 Radiocarbon Age Calibration Curves 0–50,000 Years cal BP"
R. Staff,180,"IntCal13 and Marine13 Radiocarbon Age Calibration Curves 0–50,000 Years cal BP"
C. Turney,181,"IntCal13 and Marine13 Radiocarbon Age Calibration Curves 0–50,000 Years cal BP"
J. van der Plicht,182,"IntCal13 and Marine13 Radiocarbon Age Calibration Curves 0–50,000 Years cal BP"
T. Massalski,183,Binary alloy phase diagrams
J. Murray,184,Binary alloy phase diagrams
L. H. Bennett,185,Binary alloy phase diagrams
H. Baker,186,Binary alloy phase diagrams
M. Shankar-Hari,187,Developing a New Definition and Assessing New Clinical Criteria for Septic Shock: For the Third International Consensus Definitions for Sepsis and Septic Shock (Sepsis-3).
Gary S. Phillips,188,Developing a New Definition and Assessing New Clinical Criteria for Septic Shock: For the Third International Consensus Definitions for Sepsis and Septic Shock (Sepsis-3).
M. Levy,189,Developing a New Definition and Assessing New Clinical Criteria for Septic Shock: For the Third International Consensus Definitions for Sepsis and Septic Shock (Sepsis-3).
C. Seymour,190,Developing a New Definition and Assessing New Clinical Criteria for Septic Shock: For the Third International Consensus Definitions for Sepsis and Septic Shock (Sepsis-3).
Vincent X. Liu,191,Developing a New Definition and Assessing New Clinical Criteria for Septic Shock: For the Third International Consensus Definitions for Sepsis and Septic Shock (Sepsis-3).
C. Deutschman,192,Developing a New Definition and Assessing New Clinical Criteria for Septic Shock: For the Third International Consensus Definitions for Sepsis and Septic Shock (Sepsis-3).
D. Angus,193,Developing a New Definition and Assessing New Clinical Criteria for Septic Shock: For the Third International Consensus Definitions for Sepsis and Septic Shock (Sepsis-3).; Assessment of Global Incidence and Mortality of Hospital-treated Sepsis. Current Estimates and Limitations.
G. Rubenfeld,194,Developing a New Definition and Assessing New Clinical Criteria for Septic Shock: For the Third International Consensus Definitions for Sepsis and Septic Shock (Sepsis-3).
M. Singer,195,Developing a New Definition and Assessing New Clinical Criteria for Septic Shock: For the Third International Consensus Definitions for Sepsis and Septic Shock (Sepsis-3).
R. Srikant,196,Fast Algorithms for Mining Association Rules in Large Databases; Fast Algorithms for Mining Association Rules; Mining sequential patterns; Mining Sequential Patterns: Generalizations and Performance Improvements; Advances in Knowledge Discovery and Data Mining
Damian Szklarczyk,197,"STRING v11: protein–protein association networks with increased coverage, supporting functional discovery in genome-wide experimental datasets; STRING v10: protein–protein interaction networks, integrated over the tree of life; The STRING database in 2017: quality-controlled protein–protein association networks, made broadly accessible; The STRING database in 2021: customizable protein–protein networks, and functional characterization of user-uploaded gene/measurement sets; STRING v9.1: protein-protein interaction networks, with increased coverage and integration; The STRING database in 2011: functional interaction networks of proteins, globally integrated and scored; eggNOG 5.0: a hierarchical, functionally and phylogenetically annotated orthology resource based on 5090 organisms and 2502 viruses; The STRING database in 2023: protein–protein association networks and functional enrichment analyses for any sequenced genome of interest"
Annika L. Gable,198,"STRING v11: protein–protein association networks with increased coverage, supporting functional discovery in genome-wide experimental datasets; The STRING database in 2021: customizable protein–protein networks, and functional characterization of user-uploaded gene/measurement sets; The STRING database in 2023: protein–protein association networks and functional enrichment analyses for any sequenced genome of interest"
D. Lyon,199,"STRING v11: protein–protein association networks with increased coverage, supporting functional discovery in genome-wide experimental datasets; The STRING database in 2021: customizable protein–protein networks, and functional characterization of user-uploaded gene/measurement sets"
Alexander Junge,200,"STRING v11: protein–protein association networks with increased coverage, supporting functional discovery in genome-wide experimental datasets"
S. Wyder,201,"STRING v11: protein–protein association networks with increased coverage, supporting functional discovery in genome-wide experimental datasets; STRING v10: protein–protein interaction networks, integrated over the tree of life; The STRING database in 2017: quality-controlled protein–protein association networks, made broadly accessible"
J. Huerta-Cepas,202,"STRING v11: protein–protein association networks with increased coverage, supporting functional discovery in genome-wide experimental datasets; STRING v10: protein–protein interaction networks, integrated over the tree of life; eggNOG 5.0: a hierarchical, functionally and phylogenetically annotated orthology resource based on 5090 organisms and 2502 viruses; eggNOG-mapper v2: Functional Annotation, Orthology Assignments, and Domain Prediction at the Metagenomic Scale; ETE 3: Reconstruction, Analysis, and Visualization of Phylogenomic Data"
M. Simonovic,203,"STRING v11: protein–protein association networks with increased coverage, supporting functional discovery in genome-wide experimental datasets; STRING v10: protein–protein interaction networks, integrated over the tree of life; The STRING database in 2017: quality-controlled protein–protein association networks, made broadly accessible; STRING v9.1: protein-protein interaction networks, with increased coverage and integration; The STRING database in 2011: functional interaction networks of proteins, globally integrated and scored; STRING 8—a global view on proteins and their functional interactions in 630 organisms"
N. Doncheva,204,"STRING v11: protein–protein association networks with increased coverage, supporting functional discovery in genome-wide experimental datasets; The STRING database in 2017: quality-controlled protein–protein association networks, made broadly accessible; The STRING database in 2021: customizable protein–protein networks, and functional characterization of user-uploaded gene/measurement sets; The STRING database in 2023: protein–protein association networks and functional enrichment analyses for any sequenced genome of interest"
J. Morris,205,"STRING v11: protein–protein association networks with increased coverage, supporting functional discovery in genome-wide experimental datasets; The STRING database in 2017: quality-controlled protein–protein association networks, made broadly accessible"
P. Bork,206,"STRING v11: protein–protein association networks with increased coverage, supporting functional discovery in genome-wide experimental datasets; A method and server for predicting damaging missense mutations; STRING v10: protein–protein interaction networks, integrated over the tree of life; The STRING database in 2017: quality-controlled protein–protein association networks, made broadly accessible; The STRING database in 2021: customizable protein–protein networks, and functional characterization of user-uploaded gene/measurement sets; STRING v9.1: protein-protein interaction networks, with increased coverage and integration; SMART, a simple modular architecture research tool: identification of signaling domains.; The STRING database in 2011: functional interaction networks of proteins, globally integrated and scored; eggNOG 5.0: a hierarchical, functionally and phylogenetically annotated orthology resource based on 5090 organisms and 2502 viruses; The STRING database in 2023: protein–protein association networks and functional enrichment analyses for any sequenced genome of interest; STRING 8—a global view on proteins and their functional interactions in 630 organisms; Human non-synonymous SNPs: server and survey.; STRING: a database of predicted functional associations between proteins; eggNOG-mapper v2: Functional Annotation, Orthology Assignments, and Domain Prediction at the Metagenomic Scale; InterPro: the integrative protein signature database; ETE 3: Reconstruction, Analysis, and Visualization of Phylogenomic Data"
